Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction starts, s, 0, 0, 0, 0, 94900, NO TRIGGER, 0, <>, <>
Schedule called, s, 0, 0, 0, 0, 95500, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 0, 0, 95700, NO TRIGGER, 0, <>, <d1.in1:delay.inp:>
Reaction starts, d1, 0, 0, 0, 0, 96100, NO TRIGGER, 0, <d1.in1:>, <>
Reaction ends, d1, 0, 0, 0, 0, 110400, NO TRIGGER, 0, <>, <>
Reaction starts, delay, 1, 0, 0, 0, 110600, NO TRIGGER, 0, <delay.inp:>, <>
Schedule called, delay, 0, 0, 0, 0, 111000, delay.act, 0, <>, <>
Reaction ends, delay, 1, 0, 0, 0, 111100, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 0, 1, 111700, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 0, 1, 111800, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 0, 1, 111900, NO TRIGGER, 0, <>, <d1.in2:delay_0.inp:>
Reaction starts, d1, 0, 0, 0, 1, 112200, NO TRIGGER, 0, <d1.in2:>, <>
Reaction ends, d1, 0, 0, 0, 1, 113900, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 1, 0, 0, 1, 114000, NO TRIGGER, 0, <delay_0.inp:>, <>
Schedule called, delay_0, 0, 0, 0, 1, 114200, delay_0.act, 0, <>, <>
Reaction ends, delay_0, 1, 0, 0, 1, 114300, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 0, 2, 114500, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 0, 2, 114600, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 0, 2, 114700, NO TRIGGER, 0, <>, <d1.in1:delay.inp:>
Reaction starts, d1, 0, 0, 0, 2, 116200, NO TRIGGER, 0, <d1.in1:>, <>
Reaction ends, d1, 0, 0, 0, 2, 117000, NO TRIGGER, 0, <>, <>
Reaction starts, delay, 1, 0, 0, 2, 117100, NO TRIGGER, 0, <delay.inp:>, <>
Reaction ends, delay, 1, 0, 0, 2, 117300, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 0, 3, 117400, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 0, 3, 117500, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 0, 3, 117600, NO TRIGGER, 0, <>, <d1.in2:delay_0.inp:>
Reaction starts, d1, 0, 0, 0, 3, 117700, NO TRIGGER, 0, <d1.in2:>, <>
Reaction ends, d1, 0, 0, 0, 3, 118400, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 1, 0, 0, 3, 118500, NO TRIGGER, 0, <delay_0.inp:>, <>
Reaction ends, delay_0, 1, 0, 0, 3, 118700, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 0, 4, 118900, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 0, 4, 119000, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 0, 4, 119100, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 0, 0, 5000000, 0, 5174900, NO TRIGGER, 0, <delay_0.act:>, <>
Reaction ends, delay_0, 0, 0, 5000000, 0, 5176100, NO TRIGGER, 0, <>, <d2.in2:>
Reaction starts, delay, 0, 0, 5000000, 0, 5176900, NO TRIGGER, 0, <delay.act:>, <>
Reaction ends, delay, 0, 0, 5000000, 0, 5177100, NO TRIGGER, 0, <>, <d2.in1:>
Reaction starts, d2, 0, 0, 5000000, 0, 5210200, NO TRIGGER, 0, <d2.in2:d2.in1:>, <>
Reaction ends, d2, 0, 0, 5000000, 0, 5253400, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 0, 0, 5000000, 1, 5255500, NO TRIGGER, 0, <delay_0.act:>, <>
Reaction ends, delay_0, 0, 0, 5000000, 1, 5255800, NO TRIGGER, 0, <>, <d2.in2:>
Reaction starts, delay, 0, 0, 5000000, 1, 5256100, NO TRIGGER, 0, <delay.act:>, <>
Reaction ends, delay, 0, 0, 5000000, 1, 5256300, NO TRIGGER, 0, <>, <d2.in1:>
Reaction starts, d2, 0, 0, 5000000, 1, 5256400, NO TRIGGER, 0, <d2.in2:d2.in1:>, <>
Reaction ends, d2, 0, 0, 5000000, 1, 5259300, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 10000000, 0, 10199400, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 10000000, 0, 10200900, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 10000000, 0, 10204500, NO TRIGGER, 0, <>, <d1.in1:delay.inp:>
Reaction starts, d1, 0, 0, 10000000, 0, 10206400, NO TRIGGER, 0, <d1.in1:>, <>
Reaction ends, d1, 0, 0, 10000000, 0, 10318800, NO TRIGGER, 0, <>, <>
Reaction starts, delay, 1, 0, 10000000, 0, 10319100, NO TRIGGER, 0, <delay.inp:>, <>
Schedule called, delay, 0, 0, 10000000, 0, 10320000, delay.act, 0, <>, <>
Reaction ends, delay, 1, 0, 10000000, 0, 10320100, NO TRIGGER, 0, <>, <>
Reaction starts, s, 0, 0, 10000000, 1, 10320800, NO TRIGGER, 0, <s.redo:>, <>
Schedule called, s, 0, 0, 10000000, 1, 10321000, s.redo, 0, <>, <>
Reaction ends, s, 0, 0, 10000000, 1, 10326500, NO TRIGGER, 0, <>, <d1.in2:delay_0.inp:>
Reaction starts, d1, 0, 0, 10000000, 1, 10326900, NO TRIGGER, 0, <d1.in2:>, <>
Reaction ends, d1, 0, 0, 10000000, 1, 10329400, NO TRIGGER, 0, <>, <>
Reaction starts, delay_0, 1, 0, 10000000, 1, 10329400, NO TRIGGER, 0, <delay_0.inp:>, <>
Schedule called, delay_0, 0, 0, 10000000, 1, 10329700, delay_0.act, 0, <>, <>
Reaction ends, delay_0, 1, 0, 10000000, 1, 10329700, NO TRIGGER, 0, <>, <>
