Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Schedule called, camera, 0, 0, 0, 0, 228500, camera.tCamera, 0, <>, <>
Schedule called, lidar, 0, 0, 0, 0, 228900, lidar.tLidar, 0, <>, <>
Schedule called, semantic, 0, 0, 0, 0, 229500, semantic.t, 0, <>, <>
Schedule called, semantic, 0, 0, 0, 0, 229700, semantic.t, 0, <>, <>
Schedule called, camera, 0, 0, 3000000, 0, 3135000, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 3000000, 0, 3138700, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 10000000, 0, 10290800, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 10000000, 0, 10296600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 20000000, 0, 20329900, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 20000000, 0, 20333100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 30000000, 0, 30144000, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 30000000, 0, 30147000, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 36000000, 0, 36174900, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 36000000, 0, 36177800, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 40000000, 0, 40210400, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 40000000, 0, 40210700, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 40000000, 0, 40212600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 50000000, 0, 50208000, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 50000000, 0, 50212300, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 60000000, 0, 60131100, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 60000000, 0, 60139500, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 69000000, 0, 69128900, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 69000000, 0, 69132700, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 70000000, 0, 70068700, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 70000000, 0, 70070400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 80000000, 0, 80153100, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 80000000, 0, 80153400, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 80000000, 0, 80166100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 90000000, 0, 90136100, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 90000000, 0, 90140000, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 100000000, 0, 100192700, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 100000000, 0, 100196200, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 102000000, 0, 102268700, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 102000000, 0, 102272600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 110000000, 0, 110286100, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 110000000, 0, 110297700, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 120000000, 0, 120263700, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 120000000, 0, 120271000, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 120000000, 0, 120274600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 130000000, 0, 130152900, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 130000000, 0, 130160500, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 135000000, 0, 135348700, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 135000000, 0, 135358600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 140000000, 0, 140128100, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 140000000, 0, 140131000, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 150000000, 0, 150243700, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 150000000, 0, 150254100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 160000000, 0, 160388100, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 160000000, 0, 160388600, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 160000000, 0, 160392100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 168000000, 0, 168207300, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 168000000, 0, 168211400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 170000000, 0, 170184100, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 170000000, 0, 170187000, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 180000000, 0, 180093300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 180000000, 0, 180104400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 190000000, 0, 190221200, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 190000000, 0, 190231000, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 200000000, 0, 200194100, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 200000000, 0, 200195200, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 200000000, 0, 200216100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 201000000, 0, 201192700, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 201000000, 0, 201201300, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 210000000, 0, 210469300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 210000000, 0, 210472600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 220000000, 0, 220334800, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 220000000, 0, 220338400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 230000000, 0, 230093300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 230000000, 0, 230097100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 234000000, 0, 234122700, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 234000000, 0, 234125700, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 240000000, 0, 240120900, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 240000000, 0, 240121300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 240000000, 0, 240126500, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 250000000, 0, 250319000, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 250000000, 0, 250332200, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 260000000, 0, 260133800, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 260000000, 0, 260137500, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 267000000, 0, 267154500, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 267000000, 0, 267159300, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 270000000, 0, 270233300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 270000000, 0, 270237100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 280000000, 0, 280137900, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 280000000, 0, 280138400, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 280000000, 0, 280142100, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 290000000, 0, 290343600, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 290000000, 0, 290347200, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 300000000, 0, 300278500, camera.tCamera, 0, <>, <>
Schedule called, lidar, 0, 0, 300000000, 0, 300279300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 300000000, 0, 300318900, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 310000000, 0, 310255500, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 310000000, 0, 310258400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 320000000, 0, 320447100, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 320000000, 0, 320447600, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 320000000, 0, 320450600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 330000000, 0, 330188500, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 330000000, 0, 330198700, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 333000000, 0, 333197200, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 333000000, 0, 333199600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 340000000, 0, 340235100, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 340000000, 0, 340237200, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 350000000, 0, 350167900, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 350000000, 0, 350177200, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 360000000, 0, 360166000, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 360000000, 0, 360166300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 360000000, 0, 360169600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 366000000, 0, 366334000, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 366000000, 0, 366344400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 370000000, 0, 370182300, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 370000000, 0, 370189600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 380000000, 0, 380239500, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 380000000, 0, 380245300, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 390000000, 0, 390207200, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 390000000, 0, 390216400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 399000000, 0, 399228700, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 399000000, 0, 399238900, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 400000000, 0, 400127600, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 400000000, 0, 400128700, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 400000000, 0, 400135800, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 410000000, 0, 410210500, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 410000000, 0, 410220400, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 420000000, 0, 420186900, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 420000000, 0, 420198600, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 430000000, 0, 430143200, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 430000000, 0, 430192300, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, camera, 0, 0, 432000000, 0, 432175900, camera.tCamera, 0, <>, <>
Schedule called, dataFusion, 0, 0, 432000000, 0, 432199000, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, semantic, 0, 0, 440000000, 0, 440139600, semantic.t, 0, <>, <>
Schedule called, lidar, 0, 0, 440000000, 0, 440145400, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 440000000, 0, 440149000, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 450000000, 0, 450134400, lidar.tLidar, 0, <>, <>
Schedule called, dataFusion, 0, 0, 450000000, 0, 450142300, dataFusion.both_ports_are_present, 0, <>, <>
Schedule called, lidar, 0, 0, 460000000, 0, 460244400, lidar.tLidar, 0, <>, <>
