Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction starts, semantic, 1, 1, 0, 0, 353400, NO TRIGGER, 0, <>, <>
Reaction ends, semantic, 1, 1, 0, 0, 353700, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 0, 0, 353900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 3000000, 0, 3086900, NO TRIGGER, 0, <>, <>
Reaction starts, camera, 0, 1, 3000000, 0, 3088100, NO TRIGGER, 0, <camera.tCamera:>, <>
Reaction ends, camera, 0, 1, 3000000, 0, 3088500, NO TRIGGER, 0, <>, <dataFusion.imageobject:>
Reaction starts, dataFusion, 0, 1, 3000000, 0, 3089000, NO TRIGGER, 0, <dataFusion.imageobject:>, <>
Reaction ends, dataFusion, 0, 1, 3000000, 0, 3089700, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 3000000, 0, 3089900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 3000000, 1, 3090100, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 3000000, 1, 3090200, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 3000000, 1, 3117000, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 3000000, 1, 3117300, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 3000000, 1, 3117400, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 3000000, 1, 3117800, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 10000000, 0, 10165400, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 10000000, 0, 10166600, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 10000000, 0, 10167500, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 10000000, 0, 10168400, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 10000000, 0, 10176500, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 10000000, 0, 10176700, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 10000000, 1, 10177000, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 10000000, 1, 10177100, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 10000000, 1, 10205800, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 10000000, 1, 10206100, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 10000000, 1, 10206200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 10000000, 1, 10206600, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 20000000, 0, 20178000, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 20000000, 0, 20179400, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 20000000, 0, 20180400, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 20000000, 0, 20181100, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 20000000, 0, 20189100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 20000000, 0, 20189200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 20000000, 1, 20189500, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 20000000, 1, 20189600, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 20000000, 1, 20221000, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 20000000, 1, 20221400, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 20000000, 1, 20223000, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 20000000, 1, 20223300, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 30000000, 0, 30209300, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 30000000, 0, 30212300, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 30000000, 0, 30215000, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 30000000, 0, 30217800, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 30000000, 0, 30220800, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 30000000, 0, 30221600, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 30000000, 1, 30223300, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 30000000, 1, 30223600, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 30000000, 1, 30275100, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 30000000, 1, 30275300, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 30000000, 1, 30275400, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 30000000, 1, 30275700, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 36000000, 0, 36186200, NO TRIGGER, 0, <>, <>
Reaction starts, camera, 0, 1, 36000000, 0, 36187600, NO TRIGGER, 0, <camera.tCamera:>, <>
Reaction ends, camera, 0, 1, 36000000, 0, 36188400, NO TRIGGER, 0, <>, <dataFusion.imageobject:>
Reaction starts, dataFusion, 0, 1, 36000000, 0, 36189100, NO TRIGGER, 0, <dataFusion.imageobject:>, <>
Reaction ends, dataFusion, 0, 1, 36000000, 0, 36198100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 36000000, 0, 36198200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 36000000, 1, 36198500, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 36000000, 1, 36198600, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 36000000, 1, 36232100, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 36000000, 1, 36232400, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 36000000, 1, 36232500, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 36000000, 1, 36232900, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 0, 40203900, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 40000000, 0, 40205300, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 40000000, 0, 40207100, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 40000000, 0, 40208500, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 40000000, 0, 40209900, NO TRIGGER, 0, <>, <>
Reaction starts, semantic, 1, 1, 40000000, 0, 40210000, NO TRIGGER, 0, <semantic.t:>, <>
Reaction ends, semantic, 1, 1, 40000000, 0, 40210200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 0, 40210400, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 1, 40210600, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 40000000, 1, 40210700, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 40000000, 1, 40247700, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 40000000, 1, 40247900, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 40000000, 1, 40248100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 1, 40248500, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 50000000, 0, 50218800, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 50000000, 0, 50222100, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 50000000, 0, 50224700, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 50000000, 0, 50227500, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 50000000, 0, 50258100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 50000000, 0, 50258300, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 50000000, 1, 50258600, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 50000000, 1, 50258700, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 50000000, 1, 50283100, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 50000000, 1, 50283300, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 50000000, 1, 50283400, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 50000000, 1, 50283700, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 60000000, 0, 60143300, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 60000000, 0, 60144800, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 60000000, 0, 60145500, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 60000000, 0, 60151600, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
