Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Reaction starts, semantic, 1, 1, 0, 0, 384700, NO TRIGGER, 0, <>, <>
Reaction ends, semantic, 1, 1, 0, 0, 385100, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 0, 0, 385200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 3000000, 0, 3323700, NO TRIGGER, 0, <>, <>
Reaction starts, camera, 0, 1, 3000000, 0, 3324200, NO TRIGGER, 0, <camera.tCamera:>, <>
Reaction ends, camera, 0, 1, 3000000, 0, 3324600, NO TRIGGER, 0, <>, <dataFusion.imageobject:>
Reaction starts, dataFusion, 0, 1, 3000000, 0, 3325000, NO TRIGGER, 0, <dataFusion.imageobject:>, <>
Reaction ends, dataFusion, 0, 1, 3000000, 0, 3486900, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 3000000, 0, 3487100, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 3000000, 1, 3487500, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 3000000, 1, 3487700, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 3000000, 1, 3506400, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 3000000, 1, 3506700, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 3000000, 1, 3506800, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 3000000, 1, 3507200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 10000000, 0, 10121000, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 10000000, 0, 10121500, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 10000000, 0, 10122200, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 10000000, 0, 10137500, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 10000000, 0, 10335600, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 10000000, 0, 10335800, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 10000000, 1, 10336200, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 10000000, 1, 10336400, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 10000000, 1, 10354400, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 10000000, 1, 10354600, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 10000000, 1, 10354700, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 10000000, 1, 10355100, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 20000000, 0, 20353500, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 20000000, 0, 20354100, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 20000000, 0, 20355100, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 20000000, 0, 20370900, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 20000000, 0, 20594400, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 20000000, 0, 20594700, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 20000000, 1, 20595100, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 20000000, 1, 20595300, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 20000000, 1, 20634400, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 20000000, 1, 20634700, NO TRIGGER, 0, <semantic.fusedObject:>, <>
Reaction ends, semantic, 0, 1, 20000000, 1, 20636400, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 20000000, 1, 20636700, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 30000000, 0, 30155500, NO TRIGGER, 0, <>, <>
Reaction starts, lidar, 0, 1, 30000000, 0, 30156600, NO TRIGGER, 0, <lidar.tLidar:>, <>
Reaction ends, lidar, 0, 1, 30000000, 0, 30157500, NO TRIGGER, 0, <>, <dataFusion.LIDARobject:lidarLogger.LIDARobject:>
Reaction starts, dataFusion, 0, 1, 30000000, 0, 30175500, NO TRIGGER, 0, <dataFusion.LIDARobject:>, <>
Reaction ends, dataFusion, 0, 1, 30000000, 0, 30295000, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 30000000, 0, 30295200, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 30000000, 1, 30295700, NO TRIGGER, 0, <>, <>
Reaction starts, dataFusion, 1, 1, 30000000, 1, 30295900, NO TRIGGER, 0, <dataFusion.both_ports_are_present:>, <>
Reaction ends, dataFusion, 1, 1, 30000000, 1, 30319800, NO TRIGGER, 0, <>, <semantic.fusedObject:>
Reaction starts, semantic, 0, 1, 30000000, 1, 30320000, NO TRIGGER, 0, <semantic.fusedObject:>, <>
