Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Schedule called, s1, 0, 0, 0, 0, 221900, s1.t1, 0, <>, <>
Schedule called, s1, 0, 0, 0, 0, 222800, s1.t1, 0, <>, <>
Schedule called, s2, 0, 0, 0, 0, 223100, s2.t2, 0, <>, <>
Schedule called, s2, 0, 0, 0, 0, 223400, s2.t2, 0, <>, <>
Schedule called, fusion, 0, 0, 0, 0, 389800, fusion.la1, 0, <>, <>
Schedule called, s2, 0, 0, 10000000, 0, 10243700, s2.t2, 0, <>, <>
Schedule called, s1, 0, 0, 20000000, 0, 20453400, s1.t1, 0, <>, <>
Schedule called, s2, 0, 0, 20000000, 0, 20453700, s2.t2, 0, <>, <>
Schedule called, fusion, 0, 0, 20000000, 0, 20488300, fusion.la1, 0, <>, <>
Schedule called, s2, 0, 0, 30000000, 0, 30159800, s2.t2, 0, <>, <>
Schedule called, s1, 0, 0, 40000000, 0, 40205500, s1.t1, 0, <>, <>
Schedule called, s2, 0, 0, 40000000, 0, 40206000, s2.t2, 0, <>, <>
Schedule called, fusion, 0, 0, 40000000, 0, 40260700, fusion.la1, 0, <>, <>
Schedule called, s2, 0, 0, 50000000, 0, 50259300, s2.t2, 0, <>, <>
Schedule called, s1, 0, 0, 60000000, 0, 60216800, s1.t1, 0, <>, <>
Schedule called, s2, 0, 0, 60000000, 0, 60217700, s2.t2, 0, <>, <>
Schedule called, fusion, 0, 0, 60000000, 0, 60302700, fusion.la1, 0, <>, <>
Schedule called, s2, 0, 0, 70000000, 0, 70577100, s2.t2, 0, <>, <>
Schedule called, s1, 0, 0, 80000000, 0, 80494300, s1.t1, 0, <>, <>
Schedule called, s2, 0, 0, 80000000, 0, 80529600, s2.t2, 0, <>, <>
Schedule called, fusion, 0, 0, 80000000, 0, 80630600, fusion.la1, 0, <>, <>
Schedule called, s2, 0, 0, 90000000, 0, 90234300, s2.t2, 0, <>, <>
Schedule called, fusion, 0, 0, 100000000, 0, 100358300, fusion.la1, 0, <>, <>
Reaction starts, s1, 0, 1, 0, 0, 382800, NO TRIGGER, 0, <à(¢ó<V>, <>
Reaction ends, s1, 0, 1, 0, 0, 383700, NO TRIGGER, 0, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 0, 0, 385500, NO TRIGGER, 0, <>, <>
Reaction ends, s2, 0, 1, 0, 0, 385800, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 0, 0, 386300, NO TRIGGER, 0, <fusion.p1:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 0, 0, 390200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 0, 0, 390500, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 0, 1, 391500, NO TRIGGER, 0, <>, <>
Reaction starts, fusion, 1, 1, 0, 1, 392500, NO TRIGGER, 0, <fusion.la1:>, <>
Reaction ends, fusion, 1, 1, 0, 1, 393200, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 0, 1, 404500, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 10000000, 0, 10243900, NO TRIGGER, 0, <>, <>
Reaction starts, s2, 0, 1, 10000000, 0, 10245000, NO TRIGGER, 0, <s2.t2:>, <>
Reaction ends, s2, 0, 1, 10000000, 0, 10245800, NO TRIGGER, 0, <>, <fusion.p2:>
