Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, Triggered By, Effects
Schedule called, s1, 0, 0, 0, 0, 2851400, s1.t, 0, <>, <>
Schedule called, s1, 0, 0, 0, 0, 2851900, s1.t, 0, <>, <>
Schedule called, s2, 0, 0, 0, 0, 2852200, s2.t, 0, <>, <>
Schedule called, s2, 0, 0, 0, 0, 2852300, s2.t, 0, <>, <>
Reaction starts, s1, 0, 1, 0, 0, 3035800, NO TRIGGER, 0, <>, <>
Reaction ends, s1, 0, 1, 0, 0, 3036100, NO TRIGGER, 0, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 0, 0, 3062600, NO TRIGGER, 0, <>, <>
Reaction ends, s2, 0, 1, 0, 0, 3062700, NO TRIGGER, 0, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 0, 0, 3062900, NO TRIGGER, 0, <fusion.p1:fusion.p2:>, <>
Schedule called, fusion, 0, 0, 0, 0, 3063700, fusion.la1, 0, <>, <>
Reaction ends, fusion, 0, 1, 0, 0, 3063800, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 0, 0, 3064000, NO TRIGGER, 0, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 0, 1, 3064800, NO TRIGGER, 0, <>, <>
Reaction starts, fusion, 1, 1, 0, 1, 3064900, NO TRIGGER, 0, <fusion.la1:>, <>
Reaction ends, fusion, 1, 1, 0, 1, 3065000, NO TRIGGER, 0, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 0, 1, 3065100, NO TRIGGER, 0, <>, <>
Worker wait starts, NO REACTOR, none, 2, 0, 1, 3116400, NO TRIGGER, 0, <>, <>
Schedule called, s2, 0, 0, 10000000, 0, 10072900, s2.t, 10000000, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 10000000, 0, 10073000, NO TRIGGER, 10000000, <>, <>
Reaction starts, s2, 0, 1, 10000000, 0, 10074000, NO TRIGGER, 10000000, <s2.t:>, <>
Reaction ends, s2, 0, 1, 10000000, 0, 10074300, NO TRIGGER, 10000000, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 10000000, 0, 10074800, NO TRIGGER, 10000000, <fusion.p2:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 10000000, 0, 10074900, NO TRIGGER, 10000000, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 10000000, 0, 10075000, NO TRIGGER, 10000000, <>, <>
Schedule called, s1, 0, 0, 20000000, 0, 20182500, s1.t, 20000000, <>, <>
Schedule called, s2, 0, 0, 20000000, 0, 20183000, s2.t, 20000000, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 20000000, 0, 20183600, NO TRIGGER, 20000000, <>, <>
Reaction starts, s1, 0, 1, 20000000, 0, 20218000, NO TRIGGER, 20000000, <s1.t:>, <>
Reaction ends, s1, 0, 1, 20000000, 0, 20229800, NO TRIGGER, 20000000, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 20000000, 0, 20232100, NO TRIGGER, 20000000, <s2.t:>, <>
Reaction ends, s2, 0, 1, 20000000, 0, 20232300, NO TRIGGER, 20000000, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 20000000, 0, 20232800, NO TRIGGER, 20000000, <fusion.p1:fusion.p2:>, <>
Schedule called, fusion, 0, 0, 20000000, 0, 20233700, fusion.la1, 20000000, <>, <>
Reaction ends, fusion, 0, 1, 20000000, 0, 20233900, NO TRIGGER, 20000000, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 20000000, 0, 20234200, NO TRIGGER, 20000000, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 20000000, 1, 20235000, NO TRIGGER, 20000000, <>, <>
Reaction starts, fusion, 1, 1, 20000000, 1, 20235200, NO TRIGGER, 20000000, <fusion.la1:>, <>
Reaction ends, fusion, 1, 1, 20000000, 1, 20235400, NO TRIGGER, 20000000, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 20000000, 1, 20235500, NO TRIGGER, 20000000, <>, <>
Worker wait ends, NO REACTOR, none, 2, 20000000, 1, 20273200, NO TRIGGER, 20000000, <>, <>
Worker wait starts, NO REACTOR, none, 2, 20000000, 1, 20273700, NO TRIGGER, 20000000, <>, <>
Schedule called, s2, 0, 0, 30000000, 0, 30156100, s2.t, 30000000, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 30000000, 0, 30156400, NO TRIGGER, 30000000, <>, <>
Reaction starts, s2, 0, 1, 30000000, 0, 30157500, NO TRIGGER, 30000000, <s2.t:>, <>
Reaction ends, s2, 0, 1, 30000000, 0, 30162900, NO TRIGGER, 30000000, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 30000000, 0, 30163900, NO TRIGGER, 30000000, <fusion.p2:fusion.p2:>, <>
Reaction ends, fusion, 0, 1, 30000000, 0, 30164200, NO TRIGGER, 30000000, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 30000000, 0, 30164500, NO TRIGGER, 30000000, <>, <>
Schedule called, s1, 0, 0, 40000000, 0, 40223000, s1.t, 40000000, <>, <>
Schedule called, s2, 0, 0, 40000000, 0, 40223700, s2.t, 40000000, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 0, 40224000, NO TRIGGER, 40000000, <>, <>
Reaction starts, s1, 0, 1, 40000000, 0, 40266900, NO TRIGGER, 40000000, <s1.t:>, <>
Reaction ends, s1, 0, 1, 40000000, 0, 40277200, NO TRIGGER, 40000000, <>, <fusion.p1:>
Reaction starts, s2, 0, 1, 40000000, 0, 40279800, NO TRIGGER, 40000000, <s2.t:>, <>
Reaction ends, s2, 0, 1, 40000000, 0, 40280100, NO TRIGGER, 40000000, <>, <fusion.p2:>
Reaction starts, fusion, 0, 1, 40000000, 0, 40280900, NO TRIGGER, 40000000, <fusion.p1:fusion.p2:>, <>
Schedule called, fusion, 0, 0, 40000000, 0, 40282000, fusion.la1, 40000000, <>, <>
Reaction ends, fusion, 0, 1, 40000000, 0, 40282400, NO TRIGGER, 40000000, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 0, 40282800, NO TRIGGER, 40000000, <>, <>
Worker advancing time ends, NO REACTOR, none, 1, 40000000, 1, 40284000, NO TRIGGER, 40000000, <>, <>
Reaction starts, fusion, 1, 1, 40000000, 1, 40284300, NO TRIGGER, 40000000, <fusion.la1:>, <>
Reaction ends, fusion, 1, 1, 40000000, 1, 40284600, NO TRIGGER, 40000000, <>, <>
Worker advancing time starts, NO REACTOR, none, 1, 40000000, 1, 40284800, NO TRIGGER, 40000000, <>, <>
Worker wait ends, NO REACTOR, none, 2, 40000000, 1, 40338600, NO TRIGGER, 40000000, <>, <>
Worker wait starts, NO REACTOR, none, 2, 40000000, 1, 40339200, NO TRIGGER, 40000000, <>, <>
